date;city;state;content
September 16, 2015;Simi Valley;California; - Republican Debate - &quot;I never attacked him on his looks and believe me there's plenty of subject matter right there.&quot;
September 19, 2015;Urbandale;Iowa; Rally - “Oh, they’re so young. Look at them. So young and beautiful and attractive,” Trump said.
September 23, 2015;Columbia;South Carolina; Town Hall - “I’m crushing it!”
October 3, 2015;Franklin;Tennessee; Rally - “It’s not the guns,” Trump said during his hourlong speech. “It’s the people, it’s these sick people.”
October 10, 2015;Norcross;Georgia; Rally - “We’re gonna build a Trump-sized wall at the border. And Mexico is going to pay for it,” Trump said. “They’re going to pay for it.”
October 14, 2015;Richmond;Virginia; Rally - &quot;We're going to build the wall. Ok, believe me,&quot; Trump said to growing cheers. &quot;We're going to build the wall!&quot;
October 19, 2015;Anderson;South Carolina; Rally - “She just fainted. You know what? That means she’s excited. It’s ok. Make sure she’s good. Those are my best fans. The one’s that faint I love the most,” Trump quipped.
October 21, 2015;Burlington;Iowa; Rally - “Frankly, I really want to run against Hillary. That is the one. It is sort of like if you have a baseball team or a football team and you get your heart set on something; you want go against that one,” Trump said.
October 23, 2015;Miami;Florida; Rally - &quot;In this group, I wasn't so sure I should be talking about walls,&quot; he said.
October 24, 2015;Jacksonville;Florida; Rally - On Bush - “Here’s a guy who wants to run the country and he can’t even run his own campaign,” Trump said.
October 26, 2015;;;Town Hall on Today - “I can relate to average Americans, I’ve eaten at McDonald's and driven myself in a car.”
October 27, 2015;Sioux City;Iowa; Rally - &quot;Iowa, will you get your numbers up, please?&quot; Trump begged on Tuesday night, &quot;Will you get these numbers up? I promise you: I will do such a good job.&quot;
October 28, 2015;Boulder;Colorado;Republican Debate - On whether he ever carries a gun - “&quot;I like to be unpredictable.&quot;
October 29, 2015;Sparks;Nevada; Rally - “I will be the greatest jobs president that God ever created.”
November 9, 2015;Springfield;Illinois; Rally - &quot;We're going to make our country so strong and so rich and so powerful. We are going to take care of our people. Our people are going to come first,&quot; he said.
November 10, 2015;Milwaukee;Wisconsin; Republican Debate
November 12, 2015;Fort Dodge; Iowa; Rally
November 14, 2015;Beaumont;Texas; Rally
November 16, 2015;Knoxville;Tennessee; Rally
November 18, 2015;Worcester;Massachusetts; Rally
November 19, 2015;Newton;Iowa; Rally
November 20, 2015;Spartanburg;South Carolina; Rally
November 21, 2015;Birmingham;Alabama; Rally
November 23, 2015;Columbus;Ohio; Rally
November 24 2015;Myrtle Beach;South Carolina; Rally
November 28, 2015;Sarasota;Florida; Rally
